Id,Kanji,Han-Viet Pronunciation,Kun,On,Meaning,Word 1,Word 2,Word 3,MemoryTip,StrokeCount,Level,Image,Bộ thủ chính
,円,Viên,まる.い,エン,Tiền Yên,円【えん】tiền Yên,万円【まんえん】vạn Yên,円い【まるい】tròn,Ở biên giới (冂) chỉ tiêu (卜) tiền Yên (円),4,N5,,囗
,五,Ngũ,"いつ, いつ.つ",ゴ,Năm,五つ【いつつ】năm cái,五日【いつか】ngày mùng 5,五月【ごがつ】tháng năm,Leo từ tầng (丆) 1 (一) đến tầng 5 (五),4,N5,,二
,竹,Trúc,たけ,チク,Tre trúc,竹【たけ】cây tre,竹の子【たけのこ】măng,竹林【ちくりん】rừng tre,Tiếng cười keke (ケケ) phát ra từ bụi trúc (竹),6,N5,,竹
,気,Khí,(không có),"キ, ケ",Không khí,元気【げんき】khỏe mạnh,天気【てんき】thời tiết,電気【でんき】điện,Khi (气) mà mọi người đều mê (メ) là không khí (気),6,N5,,气
,左,Tả,ひだり,サ,Trái,左【ひだり】bên trái,左手【ひだりて】tay trái,左右【さゆう】trái phải,1 (一) tài phiệt (𠂇) vận công (工) bằng tay trái (左),5,N5,,工
,右,Hữu,みぎ,"ウ, ユウ",Phải,右【みぎ】bên phải,右手【みぎて】tay phải,左右【さゆう】trái phải,1 (一) tài phiệt (𠂇) miệng (口) nói toàn điều phải (右),5,N5,,口
,石,Thạch,いし,"セキ, シャク",Đá,石【いし】hòn đá,宝石【ほうせき】đá quý,石川【いしかわ】Ishikawa,1 (一) tài phiệt (𠂇) phải có miệng (口) sắt đá (石),5,N5,,石
,岩,Nham,いわ,ガン,Núi đá,岩【いわ】tảng đá,岩山【いわやま】núi đá,溶岩【ようがん】dung nham,Núi (山) đá (石) hình thành từ nham thạch (岩),8,N5,,山
,年,Niên,とし,ネン,Năm,今年【ことし】năm nay,毎年【まいねん】mỗi năm,来年【らいねん】năm sau,Nằm (𠂉) suốt 14 (干) năm (年),6,N5,,干
,人,Nhân,"ひと, -り, -と","ジン, ニン",Người,人【ひと】người,一人【ひとり】một người,日本人【にほんじん】người Nhật,Người (人) đang đội nón (大),2,N5,,人
,入,Nhập,"はい.る, い.れる",ニュウ,Vào,入る【はいる】đi vào,入口【いりぐち】cửa vào,入れる【いれる】cho vào,Nhập (入) ngược với Nhân (人),2,N5,,入
,大,Đại,"おお-, おお.きい","ダイ, タイ","To, lớn",大きい【おおきい】to lớn,大学【だいがく】đại học,大変【たいへん】vất vả,1 (一) người (人) to lớn (大),3,N5,,大
